KKorgnr,Institution_Navn,"Andel af pæd personale, der er uddannet 2020",Antal uddannede pædagoger,Antal pædagogmedhjælpere (inkl. assistenter),Andre midlertidigt tilknyttede,Samlede pædagoger,Antal børn,Børn pr. voksen (rundet op),Koordinater,kilde:
1639,Solstrålen og Smørhullet,64%,11,7,Ja,18,72,4,"55.65870292280947, 12.60364145994735 ",https://pasningogskole.kk.dk/institution/1000215/vuggestuen
1640,Børnehuset Urtehaven,61%,,,,32,148,5,"55.69349412277640, 12.559608539952723",https://jobdanmark.dk/v64942212/job113155/paedagogmedhjaelper-til-bornehaven-i-bornehuset-urtehaven-barselsvikariat
1643,Vuggestuen Sundholm,41%,,,,7,45,7,"55.66021961281015, 12.595556529948388",https://pasningogskole.kk.dk/institution/1000241/vuggestuen
1644,Ingolf,54%,6,3,,9,32,4,"55.639039152835800, 12.605015899947217",https://pasningogskole.kk.dk/institution/1000242/vuggestuen
1645,Børnehuset Lygtemagerstien,58%,10,6,,16,78,5,"55.6654989427991, 12.606799479946917",https://simplyjob.com/78463/koncernservice &&&&&& koncern-it/paedagog-til-brnehaveafdelingen-i-brnehuset-lygtemagerstien og https://lygtemagerstien-kk.aula.dk/om-os/personalet
1647,Kastanien,62%,4,2,Ja,6,48,8,"55.65084776282255, 12.596787299948254 ",https://pasningogskole.kk.dk/institution/1000254/vuggestuen &&&&& https://kastaniehuset-kk.aula.dk/boernehaven/boernehavens-paedagogik-og-rammer 
1648,Idrætsinstitution Hoppeland,59%,9,7,,16,46,3,"55.64242989282879, 12.612174939946268 ",https://hoppeland-kk.aula.dk/
1649,Den Grønne Planet,37%,,,,21,114,6,"55.6678483628005, 12.593221239948665 ",https://pasningogskole.kk.dk/institution/4000263/vuggestuen
1650,Børnehuset ved Volden,53%,,,,25,124,5,"55.65414120280868, 12.623976189944647 ",https://boernehusetvedvolden-kk.aula.dk/paedagogik/den-styrkede-paedagogiske-laereplan
1655,Børnenes Poppelhus,48%,,,,21,63,3,"55.64711172282135, 12.61523435994585 ",https://simplyjob.com/511409/kbenhavns-kommune/vuggestuepaedagog-eller-pau-til-brnenes-poppelhus-p-amager
1657,Kongeriget,57%,,,,14,94,7,"55.653836522809, 12.624199129944612",https://docplayer.dk/54342411-Boerneinstitutionen-kongeriget.html
1658,Skattekisten,60%,7,3,,10,60,6,"55.65788348281312, 12.596195449948311 ",https://skattekisten-kk.aula.dk/forside/velkommen-til-skattekisten
1659,Jorden Rundt,56%,10,5,,15,72,5,"55.63683306284468, 12.587839589949427 ",
1660,M-Husets Vuggestue,66%,,,,12,48,4,"55.64273951283008, 12.607185699946925 ",https://simplyjob.com/383538/kbenhavns-kommune/to-paedagogmedhjaelpere-til-m-husets-vuggestue
1661,Sejlhuset,58%,14,9,,23,110,5,"55.6594164128145, 12.585866819949615 ",https://pasningogskole.kk.dk/institution/4000333/vuggestuen
1662,Børnehuset Gullfossgade,52%,,,,18,72,4,"55.634463942849635, 12.582701859950074 ",
1667,Børnehuset Burlunden,49%,,,,8,66,9,"55.63303387285397, 12.575451999950973 ",https://www.ofir.dk/resultat/paedagog-til-vores-udflytterboernehave-i-boernehuset-burlunden-330688144.aspx?jobId=330688144
1670,Børnehuset Hørgården,58%,,,,,222,,MULTIPOINT ((12.59798833994812 55.64389764283162)),
1671,Viften,54%,,,,15,76,6,"55.65350678280929, 12.624640179944558 ",Mail
1673,Havkatten,47%,8,8,,16,80,5,,https://bornibyen.dk/koebenhavn/places/499-havkatten
1675,Altankassen,60%,,,,,188,,,
1677,Østen for Solen,67%,10,5,,15,85,6,"55.64756673281958, 12.61847880994541 ",
1679,Børnehuset GAIA,61%,,,,,170,,,https://pasningogskole.kk.dk/institution/4000481/vuggestuen
1680,Elverhøj,53%,,,,,,,,
1681,Snorretoppen,60%,18,20,,38,250,7,"55.65601104281399, 12.601229429947667 ",https://snorretoppen-kk.aula.dk/om-os/personalet-i-snorretoppen &&&&& https://pasningogskole.kk.dk/institution/4000492/b-rnehave 
1682,De 5 Årstider,67%,11,6,,17,77,5,"55.6635430628019, 12.606483209946962 ",https://de5aarstider-kk.aula.dk/forside/velkommen &&&&& https://de5aarstider-kk.aula.dk/om-os/personalet 
1683,Galaxen,55%,,,,18,136,8,,https://docplayer.dk/171294966-Paedagogisk-laereplan-for-galaxen-amager-klynge-g-2019-20.html
1684,Himmelblå,48%,,,,,110,,,
1685,Havblik,62%,10,5,,15,79,6,"55.7106060027593, 12.53960518995499 ",https://pasningogskole.kk.dk/institution/4000506/vuggestuen
1686,Paletten,63%,8,9,Ja,17,80,5,"55.70933632276681, 12.520800629957074 ",https://paletten-kk.aula.dk/om-os/hvem-er-vi
1687,Nordlys,61%,,,,,,,,
1688,Søstjernen,60%,,,,,159,,,
1690,Amagerhus,65%,11,5,,16,90,6,"55.70930551276808, 12.516793349957505 ",https://amagerhus-kk.aula.dk/om-os/personalet
1693,Idrætsinstitutionen Blæksprutten,68%,,,,,80,,,https://jobbyen.dk/job/10905/paedagogpaedagogisk-assistent-til-idraetsinstitutionen-blaeksprutten
